City,Time,Temperature,Condition
Antalya Province,2025-05-03 15:00:00,21.33,Rain
Antalya Province,2025-05-03 18:00:00,20.52,Rain
Antalya Province,2025-05-03 21:00:00,19.58,Clouds
Antalya Province,2025-05-04 00:00:00,18.76,Clear
Antalya Province,2025-05-04 03:00:00,18.7,Clear
Antalya Province,2025-05-04 06:00:00,19.42,Clear
Antalya Province,2025-05-04 09:00:00,20.19,Clear
Antalya Province,2025-05-04 12:00:00,20.37,Rain
Antalya Province,2025-05-04 15:00:00,20.62,Clear
Antalya Province,2025-05-04 18:00:00,19.58,Rain
Antalya Province,2025-05-04 21:00:00,19.29,Clear
Antalya Province,2025-05-05 00:00:00,18.94,Clear
Antalya Province,2025-05-05 03:00:00,19.14,Clear
Antalya Province,2025-05-05 06:00:00,20.23,Clear
Antalya Province,2025-05-05 09:00:00,20.69,Clear
Antalya Province,2025-05-05 12:00:00,21.02,Clear
Antalya Province,2025-05-05 15:00:00,20.66,Clouds
Antalya Province,2025-05-05 18:00:00,19.82,Clouds
Antalya Province,2025-05-05 21:00:00,19.38,Clouds
Antalya Province,2025-05-06 00:00:00,19.06,Clouds
Antalya Province,2025-05-06 03:00:00,18.9,Clouds
Antalya Province,2025-05-06 06:00:00,19.56,Clouds
Antalya Province,2025-05-06 09:00:00,20.55,Clouds
Antalya Province,2025-05-06 12:00:00,20.69,Clear
Antalya Province,2025-05-06 15:00:00,20.3,Clouds
Antalya Province,2025-05-06 18:00:00,19.7,Clouds
Antalya Province,2025-05-06 21:00:00,19.64,Clear
Antalya Province,2025-05-07 00:00:00,19.47,Clear
Antalya Province,2025-05-07 03:00:00,19.45,Clear
Antalya Province,2025-05-07 06:00:00,20.31,Clouds
Antalya Province,2025-05-07 09:00:00,21.05,Clouds
Antalya Province,2025-05-07 12:00:00,21.27,Clouds
Antalya Province,2025-05-07 15:00:00,21.29,Clouds
Antalya Province,2025-05-07 18:00:00,20.58,Clouds
Antalya Province,2025-05-07 21:00:00,20.6,Clouds
Antalya Province,2025-05-08 00:00:00,20.58,Clouds
Antalya Province,2025-05-08 03:00:00,20.63,Clouds
Antalya Province,2025-05-08 06:00:00,20.79,Clouds
Antalya Province,2025-05-08 09:00:00,21.72,Clouds
Antalya Province,2025-05-08 12:00:00,22.03,Clouds
